"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"842","Strada TINCANI","10","Sector 6","1965","S+P+4E","100","2002","Gheorghe POPESCU","3.Clasa de risc seismic RsIII.",,
"843","Strada TRAIAN","77÷79","Sector 3","1968","S+P+8E","47","1997","Alexandru HRISTOFOROV","3.Clasa de risc seismic RsIII.",,
"844","Strada TRANSILVANIEI","44","Sector 1","1946","S+P+4E+Pod","16","2002","Rodica VASILESCU","3.Clasa de risc seismic RsIII.",,
"845","Strada VASILE LASCAR","33","Sector 2","1935;1979","S+P+8E","0","1998","Grigore ARSENIE","3.Clasa de risc seismic RsIII.",,
"846","Soseaua VERGULUI","67 (bloc 15D)","Sector 2","1977","S+P+18E","98","2012","Vasile BOGDAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2012"
"847","Calea VICTORIEI","12A","Sector 3","1978","S+P+6E","36","2010","Mihai VOICULESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2010"
"848","Calea VICTORIEI","48÷50","Sector 1","1910","S+P+6E","30","1998","Maria DARIE","3.Clasa de risc seismic RsIII.",,
"849","Strada VISARION","13","Sector 1","1932","S+P+5E","0","2020","Gheorghe VISAN","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2020"
"850","Strada VISINILOR","3","Sector 2","1936","S+P+1E","3","2012","Adrian STANESCU","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2012"
"851","Strada VULTURILOR","38 (corp A)","Sector 3","1900","S+P+1E+Ma","0","2009","Adina SIMION","3.Clasa de risc seismic RsIII.",,"Incadrare in clasa de risc seismic in anul 2009"
"852","Strada ZBORULUI","1","Sector 3","1930","S+P+3E","8","2013","Gheorghe SARBU","3.Clasa de risc seismic RsIII.",,
"853","Strada AUREL VLAICU","148","Sector 2","1938","S+P+3E","5","2009","Dan CAPATANA","4.Clasa de risc seismic RsIV.",,"Incadrare in clasa de risc seismic in anul 2009"
"854","Soseaua COLENTINA","23B (bloc 1B  IRTA)","Sector 2","1977","S+P+11E","55","2010","ing. Mihai URSACHESCU","4.Clasa de risc seismic RsIV.",,
"855","Strada CONSTANTIN DANIEL ROSENTHAL","30","Sector 1","2004","S+P+2E+Ma","3","2018","Iorgu NICULA","4.Clasa de risc seismic RsIV.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an 1993 - Armand NEFIAN","Incadrare in clasa de risc seismic in anul 2018 AC nr.107/4/R/24691/2002 AC nr.851/27/L/26664/2004 PVRTL nr.84/2004"
"856","Strada GABROVENI","16","Sector 3","1884","S+P+1E","0","2015","Constantin PAVEL","4.Clasa de risc seismic RsIV.",,"Incadrare in clasa de risc seismic in anul 2015"
"857","Bulevardul HRISTO BOTEV","9","Sector 3","1913","S+P+3E+Ma","4","2010","Gheorghe RUSU CONSTANTIN","4.Clasa de risc seismic RsIV.",,"Incadrare in clasa de risc seismic in anul 2010"
"858","Splaiul INDEPENDENTEI (imobil birouri si servicii SEMA PARC OFFICE)","319L","Sector 6","1985÷1986","Sp+P+2E P+1E","0","2016","Dan CRETU","4.Clasa de risc seismic RsIV.",,"Incadrare in clasa de risc seismic in anul 2016; AC nr.800/2014 AC nr.96/2016 PVRTL nr.76/2016"
"859","Bulevardul ION MIHALACHE","315 (corp F)","Sector 1","1963","S+P+3E","12","1996","Vladimir AMBROZIE","4.Clasa de risc seismic RsIV.",,
"860","Strada TOAMNEI","121","Sector 2","1933","S+P+1E+Ma","3","2019","Ionel BELGUN","4.Clasa de risc seismic RsIV.",,"Incadrare in clasa de risc seismic in anul 2019"
